ID,title,author_ID,genre_code,publishedAt,pages,price,currency_code,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
20764812-f583-4570-817f-a6a0c36385cb,title-2076481,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076481,2009-10-08,23,9206661.91,244,19,U,2012-12-11T00:00:00.000Z,createdBy.18i81@example.com,2007-02-12T00:00:00.000Z,modifiedBy.18i81@example.com
2076482f-813a-4f27-8473-b7b75f5fcd20,title-2076482,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076482,2021-08-26,52,9457417.94,244,7,U,2008-02-16T00:00:00.000Z,createdBy.18i82@example.net,2006-12-26T00:00:00.000Z,modifiedBy.18i82@example.net
20764830-85f4-4bbc-861a-cc6cb761858b,title-2076483,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076483,2012-03-15,74,2620405.8,244,91,U,2005-01-06T00:00:00.000Z,createdBy.18i83@example.org,2005-08-13T00:00:00.000Z,modifiedBy.18i83@example.com
2076484c-c35d-4607-9a8f-f608418c22d2,title-2076484,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076484,2004-08-19,31,6905459.5,244,83,U,2016-11-14T00:00:00.000Z,createdBy.18i84@example.com,2004-08-28T00:00:00.000Z,modifiedBy.18i84@example.com
20764850-9dca-44f7-97d2-61ac7ece98c0,title-2076485,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076485,2008-06-03,27,9902071.26,244,57,U,2002-04-23T00:00:00.000Z,createdBy.18i85@example.org,2014-05-23T00:00:00.000Z,modifiedBy.18i85@example.org
2076486f-257d-4c4f-b85d-0da029faac9f,title-2076486,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076486,2002-02-13,12,1130995.5,244,51,U,2013-02-06T00:00:00.000Z,createdBy.18i86@example.com,2000-12-28T00:00:00.000Z,modifiedBy.18i86@example.com
2076487c-6278-4e5f-9945-a3b32deb6265,title-2076487,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076487,2011-09-28,81,743384.35,244,49,U,2007-10-30T00:00:00.000Z,createdBy.18i87@example.net,2007-01-14T00:00:00.000Z,modifiedBy.18i87@example.com
20764882-237a-4254-a3f8-f738a78e03d5,title-2076488,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076488,2017-08-04,16,9686112.15,244,72,U,2013-07-30T00:00:00.000Z,createdBy.18i88@example.org,2021-03-10T00:00:00.000Z,modifiedBy.18i88@example.com
20764891-5430-47ef-a99e-f3e176e15554,title-2076489,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076489,2004-06-19,14,6629745.26,244,45,U,2015-01-29T00:00:00.000Z,createdBy.18i89@example.org,2014-02-22T00:00:00.000Z,modifiedBy.18i89@example.org
20764900-b04b-433e-901e-9ba5b59bfc32,title-2076490,18740699-5de4-44b3-bfcb-61d0e0236670,genre-2076490,2004-10-11,10,4573099.89,244,23,U,2022-01-09T00:00:00.000Z,createdBy.18i8a@example.org,2013-06-11T00:00:00.000Z,modifiedBy.18i8a@example.net
